"typ_model","typ_punktu_osadniczego"
"słobodka","Słoboda (swoboda)"
"słobódka głuszkowiecka","Słoboda (swoboda)"
"słobódka","Słoboda (swoboda)"
"słuboda","Słoboda (swoboda)"
"smolarnia","Smolarnia"
"sołectwo","nieokreślony"
"sołtysostwo","nieokreślony"
"soltystwo","nieokreślony"
"sołtystwo","nieokreślony"
"sołtystwo rycerskie","nieokreślony"
"sstwo","nie dotyczy"
"sstwo niegrodowe","nie dotyczy"
"stacja na szosie","nieokreślony"
"stacja drogi żelaznej","Stacja drogi żelaznej"
"stacja kąpielowa","nieokreślony"
"stacja klimatyczna","nieokreślony"
"stacja drogi żelaznej","Stacja drogi żelaznej"
"stacja kolei żelaznej","Stacja drogi żelaznej"
"stacja kolei","Stacja drogi żelaznej"
"stacja pocztowa","Stacja pocztowa"
"stacja telegraficzna","Stacja telegraficzna"
"stadnina","Zakład stadniczy [stadnina] ?"
"stadnina fiskalna","Zakład stadniczy [stadnina]"
"stajnie","nieokreślony"
"stanica kozacka","nieokreślony"
"stanica","nieokreślony"
"stannica","nieokreślony"
"stanowisko","nie dotyczy"
"stara kolonia","Kolonia ?"
"stare lasy","nie dotyczy"
"stare pole","nie dotyczy"
"stare pole pruskie","nie dotyczy"
"stare terytorium","nieokreślony"
"stare terytoryum pruskie","nie dotyczy"
"starostwo","nie dotyczy"
"starostwo niegrodowe","nie dotyczy"
"stawki","nie dotyczy"
"staw","nie dotyczy"
"staw polny","nie dotyczy"
"stawy","nie dotyczy"
"st. dr. żel.","Stacja drogi żelaznej"
"step","nie dotyczy"
"stepy","nie dotyczy"
"stok","nie dotyczy"
"straż w leśnictwie","Straż leśna ?"
"straż leśna","Straż leśna"
"straż przy kolei","nieokreślony"
"strefa rolnicza","nie dotyczy"
"struga","nie dotyczy"
"struga wodna","nie dotyczy"
"strugi","nie dotyczy"
"strumień górski","nie dotyczy"
"strumień","nie dotyczy"
"strumyk","nie dotyczy"
"strużka","nie dotyczy"
"strzelnica","nieokreślony"
"stworzenie","nie dotyczy"
"szaniec","nieokreślony"
"szczep","nie dotyczy"
"szczyt górski","nie dotyczy"
"szczyt góry","nie dotyczy"
"szczyt","nie dotyczy"
"szczyt tatrzański","nie dotyczy"
"szczyty","nie dotyczy"
"szereg kurhanów","nieokreślony"
"szkoła","nie dotyczy"
"szkoła rolnicza","nieokreślony"
"szlak","nie dotyczy"
"szpital rządowy","nieokreślony"
"szyb","nie dotyczy"
"targowiska","Targowisko"
"targowisko","Targowisko"
"tartak","Tracz (tartak)"
"teren","nie dotyczy"
"teren podmokły","nie dotyczy"
"terma","nieokreślony"
"terma skarbowa","nieokreślony"
"terpentyniarnia","nieokreślony"
"terytorium","nie dotyczy"
"terytoryum","nie dotyczy"
"toń","nie dotyczy"
"toń jeziora","nie dotyczy"
"torfiaste błoto","nie dotyczy"
"torfiska","nie dotyczy"
"torfowisko","nie dotyczy"
"tracz","Tracz (tartak)"
"trakt","nie dotyczy"
"trzęsawisko","nie dotyczy"
"trzęsawisko błotne","nie dotyczy"
"tunel","nie dotyczy"
"turnia","nie dotyczy"
"turnie","nie dotyczy"
"twierdza","nieokreślony"
"ucząstek","nieokreślony"
"ujście","nie dotyczy"
"ujście rzeki","nie dotyczy"
"ulica","nieokreślony"
"ureczysko","Uroczysko"
"uroczyska","Uroczysko"
"uroczysko leśne","Uroczysko"
"uroczysko","Uroczysko"
"uroczysko osiadłe","Uroczysko zamieszkałe (osiadłe, zasiedlone)"
"uroczyszcze","Uroczysko"
"urwisko","nie dotyczy"
"nazwa urzędu","nie dotyczy"
"uzdrowisko","nieokreślony"
"wądoły","nie dotyczy"
"wał","nieokreślony"
"walcownia żelazna","nieokreślony"
"wapiarnia","nieokreślony"
"wapniarka","nieokreślony"
"warownia","nieokreślony"
"warownia leśna","nieokreślony"
"warownia litewska","Forteca"
"warownia turecka","Warownia turecka"
"wąwóz","nie dotyczy"
"wiatrak","Wiatrak"
"wieczysta dzierżawa","nie dotyczy"
"wiejskie zabudowania","nieokreślony"
"wielka mogiła","nieokreślony"
"wielka pasieka","nieokreślony"
"wielkie błoto","nie dotyczy"
"wielki piec","nieokreślony"
"wierch","nie dotyczy"
"wierzchołek","nie dotyczy"
"wierzchołki","nie dotyczy"
"wieś cerkiewna","Wieś cerkiewna"
"wieś chełmińska","Wieś chełmińska"
"wieś dominialna","nieokreślony"
"wieś dworska","nieokreślony"
"wieś folwarczna","Wieś"
"wieś gospodarcza","nieokreślony"
"wieś karczemna","Wieś"
"wieś kolonialna","nieokreślony"
"wieś kolonijna","nieokreślony"
"wieś koronna","Wieś koronna"
"wieś kościelna parafialna","Wieś kościelna"
"wieś kościelna","Wieś kościelna"
"wieś miejska","nieokreślony"
"wieś parafialna","Wieś parafialna katolicka"
"wieś poduchowna","Wieś poduchowna"
"wieś poradziwiłłowska","nieokreślony"
"wieś prywatna","Wieś prywatna"
"wieś rycerska","Wieś rycerska"
"wieś rządowa","Wieś"
"wieś szlachecka","Wieś szlachecka"
"wieś targowa","nieokreślony"
"wieś","Wieś"
"wieś włościańska","Wieś włościańska"
"willa","Willa z ogrodem ?"
"wille","Willa z ogrodem ?"
"winnica","Winnica"
"wioska","Wieś"
"wir","nie dotyczy"
"własności ziemskie","nieokreślony"
"własność rządowa","nieokreślony"
"własność ziemska","nieokreślony"
"włość","nieokreślony"
"włościańska osada","Osada włościańska"
"włościańska wieś","Wieś włościańska"
"włość zamkowa","nieokreślony"
"woda lecznicza","nie dotyczy"
"wodociek","nie dotyczy"
"wodościek","nie dotyczy"
"wodospad","nie dotyczy"
"województwo","nieokreślony"
"wójtostwo","nieokreślony"
"wójtowstwo","nieokreślony"
"wola","Wólka"
"wolka","Wólka"
"wólka","Wólka"
"wólki","Wólka"
"wolne sołectwo","Wolne sołtystwo ?"
"wybrzeże","nie dotyczy"
"wybudowania","Wybudowanie"
"wybudowanie gburskie","Wybudowanie gburskie"
"wybudowanie leśne","Wybudowanie ?"
"wybudowanie rybackie","Wybudowanie"
"wybudowanie","Wybudowanie"
"wygon","nieokreślony"
"wylęgarnia pstrągów","nieokreślony"
"wyniosłość","nie dotyczy"
"wysepka","nie dotyczy"
"wysepki","nie dotyczy"
"wysoki piec","nieokreślony"
"wyspa","nie dotyczy"
"wyżyna","nie dotyczy"
"wzgórza","nie dotyczy"
"wzgórze","nie dotyczy"
"wzgórze polne","nie dotyczy"
"wzniesienie","nie dotyczy"
"zabudowania dworskie","nieokreślony"
"zabudowania gospodarskie","Zabudowania wiejskie"
"zabudowania wiejskie","Zabudowania wiejskie"
"zabudowania wieśniacze","Zabudowania wiejskie"
"zabudowania włościańskie","Zabudowania wiejskie"
"zabudowania","Zabudowania wiejskie"
"zabudowanie wiejskie","Zabudowania wiejskie"
"zagroda","Zagroda"
"zagroda leśna","Zagroda ?"
"zagroda wiejska","Zagroda włościańska ?"
"zagroda włośc.","Zagroda włościańska"
"zakład fabryczny","Zakład fabryczny"
"zakład hutniczy","Zakład fabryczny ?"
"zakład kąpielowy","Zakład kapielowy"
"zakład karny","nieokreślony"
"zakład kuracyjny","Zakład kapielowy ?"
"zakład leczniczy","nieokreślony"
"zakład mleczny","Zakład mleczny"
"zakład","nieokreślony"
"zakład przemysłowy","Zakład fabryczny ?"
"zakład stadniczy","Zakład stadniczy [stadnina]"
"zakłady fabryczne","Zakład fabryczny"
"zakłady górnicze","Zakład fabryczny ?"
"zakłady hutnicze","Zakład fabryczny ?"
"zakłady żelazne","Zakład fabryczny ?"
"zakład zdrojowo-kąpielowy","Zakład kąpielowy"
"zamczysko","Zamek"
"zameczek","Zamek"
"zamek","Zamek"
"zapora","nie dotyczy"
"zarząd dóbr","nieokreślony"
"zaścianek dóbr","Zaścianek ?"
"zaścianek donacyjny","Zaścianek ?"
"zaścianek dziedziczny","Zaścianek"
"zaścianek mieszczański","Zaścianek ?"
"zaścianek poduchowny","Zaścianek ?"
"zaścianek pryw.","Zaścianek prywatny"
"zaścianek prywatny","Zaścianek prywatny"
"zaścianek rządowy","Zaścianek"
"zaścianek szlach.","Zaścianek szlachecki"
"zaścianek szlachecki","Zaścianek szlachecki"
"zaścianek włościański","Zaścianek włościański"
"zaścianek","Zaścianek"
"zaścianek żydowski","Zaścianek ?"
"zaścianki","Zaścianek"
"zatoka jeziorna","nie dotyczy"
"zatoka","nie dotyczy"
"zbiorcze","nie dotyczy"
"zbiornik wodny","nie dotyczy"
"zbiorowa nazwa miejscowości","nie dotyczy"
"zbiorowisko wodne","nie dotyczy"
"zbocze","nie dotyczy"
"zdrój","nieokreślony"
"zdrojowisko","nieokreślony"
"zdrojowisko lecznicze","nieokreślony"
"zdrój siarczany","nieokreślony"
"ziemia","nie dotyczy"
"ziemia rządowa","nieokreślony"
"znak triangulacyjny","nieokreślony"
"źródła","nie dotyczy"
"źródło","nie dotyczy"
"zwierzyniec","nieokreślony"
